Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-21 00:00:00-05:00,161.5941350310973,165.30355428995964,159.99343560956476,164.6038360595703,6847700,0.0,0.0
2024-11-22 00:00:00-05:00,167.10551328336206,171.43795362899957,166.3003737735085,169.60720825195312,11328600,0.0,0.0
2024-11-25 00:00:00-05:00,169.67432803066524,172.71278298599546,169.41552793807963,169.71266174316406,12465000,0.0,0.0
2024-11-26 00:00:00-05:00,169.74142422781267,174.11219895296546,169.33885441108612,173.6233673095703,6947500,0.0,0.0
2024-11-27 00:00:00-05:00,173.62336480637893,176.5947322151582,173.38373887423887,175.4828643798828,5271500,0.0,0.0
2024-11-29 00:00:00-05:00,175.54037302968985,175.9237686725449,174.926931225758,175.33908081054688,2710700,0.0,0.0
2024-12-02 00:00:00-05:00,174.71603493964804,175.11860469634902,171.43795438456496,174.22720336914062,3936600,0.0,0.0
2024-12-03 00:00:00-05:00,174.71606131582763,175.89501682597728,173.94925539537664,173.9684295654297,4107600,0.0,0.0
2024-12-04 00:00:00-05:00,172.6265262057136,172.96199373309514,168.6103932698952,169.1375732421875,6125500,0.0,0.0
2024-12-05 00:00:00-05:00,167.7189820792429,169.3867838694554,166.32915456686905,168.85960388183594,5444200,0.0,0.0
2024-12-06 00:00:00-05:00,168.69665087814897,169.4059488800138,166.93300758365916,168.87876892089844,4839600,0.0,0.0
2024-12-09 00:00:00-05:00,168.30366728406503,170.7382749608064,167.1438859552919,169.24301147460938,4394500,0.0,0.0
2024-12-10 00:00:00-05:00,168.24615064530622,169.57847018233147,166.61669730605027,168.38034057617188,4089600,0.0,0.0
2024-12-11 00:00:00-05:00,168.65830926793882,168.69664297880414,166.6262715775554,167.13427734375,9492200,0.0,0.0
2024-12-12 00:00:00-05:00,167.6519083971168,168.610412227012,164.85307896889572,166.00328063964844,4999500,0.0,0.0
2024-12-13 00:00:00-05:00,166.06076548656677,167.661464905304,165.2364517222153,166.17578125,5471600,0.0,0.0
2024-12-16 00:00:00-05:00,164.54632931841059,166.1470287510394,163.45363567949488,164.50799560546875,8157900,0.0,0.0
2024-12-17 00:00:00-05:00,163.50156571043473,169.17590595686124,163.14692401553495,168.10238647460938,7664700,0.0,0.0
2024-12-18 00:00:00-05:00,168.7254232120353,169.17592116933366,165.64863419583966,165.84033203125,5471600,0.0,0.0
2024-12-19 00:00:00-05:00,165.7540364635206,166.66462667154934,163.2715154109928,164.40255737304688,6110500,0.0,0.0
2024-12-20 00:00:00-05:00,164.66136033090288,169.46347369908307,163.57826098912926,168.29409790039062,18950900,0.0,0.0
2024-12-23 00:00:00-05:00,168.01612024099506,171.23669350918576,167.38351886512007,170.98748779296875,6945600,0.0,0.0
2024-12-24 00:00:00-05:00,171.0066527563613,172.69361404387746,170.46029861387797,172.53067016601562,2692800,0.0,0.0
2024-12-26 00:00:00-05:00,171.59133133991665,172.86614297788233,171.2175154931151,171.76385498046875,2759300,0.0,0.0
2024-12-27 00:00:00-05:00,170.5369986640059,172.20480058350296,169.93313657450378,170.62326049804688,2745400,0.0,0.0
2024-12-30 00:00:00-05:00,169.6743315060086,169.98104508909856,168.22698153783426,168.8883514404297,3405700,0.0,0.0
2024-12-31 00:00:00-05:00,169.03213957253618,170.4603007777632,168.61997536103667,170.32611083984375,3326400,0.0,0.0
2025-01-02 00:00:00-05:00,171.24629519587464,172.3198147890935,170.51782293566964,171.99392700195312,4092000,0.0,0.0
2025-01-03 00:00:00-05:00,172.20477928374882,174.0355248718614,171.3804655117865,173.70004272460938,4380200,0.0,0.0
2025-01-06 00:00:00-05:00,173.27830138842927,174.4285029276856,171.82137163838135,172.62652587890625,6302100,0.0,0.0
2025-01-07 00:00:00-05:00,172.17601063157173,174.6106034008734,170.98746087278556,172.0801544189453,5905200,0.0,0.0
2025-01-08 00:00:00-05:00,171.763860432722,171.80220877113217,168.86917515819584,171.09291076660156,4488500,0.0,0.0
2025-01-10 00:00:00-05:00,169.52096613354055,170.1727416337348,166.13744921930618,167.90109252929688,5372200,0.0,0.0
2025-01-13 00:00:00-05:00,167.89150726229298,170.59448002110844,167.10552722831912,169.40594482421875,4734100,0.0,0.0
2025-01-14 00:00:00-05:00,169.28134671093903,169.44429059224817,166.86591318234358,168.2653350830078,4779100,0.0,0.0
2025-01-15 00:00:00-05:00,167.88798718998729,168.797479547961,163.243780003362,165.78842163085938,8048700,1.64,0.0
