티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,날짜
005250,녹십자홀딩스,27037,36165,9128,457610305,612838180,155227875,20251219
004800,효성,17943,26927,8984,2129260400,3189626900,1060366500,20251219
451800,한화리츠,71700,80669,8969,293617587,329175080,35557493,20251219
251970,펌텍코리아,12959,21828,8869,697181400,1174542950,477361550,20251219
054950,제이브이엠,13587,22421,8834,358505050,592888000,234382950,20251219
298040,효성중공업,13532,22344,8812,24925165000,41149298000,16224133000,20251219
214420,토니모리,12822,21571,8749,109404775,184005280,74600505,20251219
460860,동국제강,29357,38008,8651,251198100,325606390,74408290,20251219
082640,동양생명,23809,32422,8613,160158420,218318300,58159880,20251219
462870,시프트업,18181,26749,8568,661597600,973439800,311842200,20251219
051980,중앙첨단소재,519377,527919,8542,1336423765,1354444465,18020700,20251219
004430,송원산업,3504,12036,8532,32037350,110113910,78076560,20251219
096770,SK이노베이션,389726,398215,8489,41118650950,41991259250,872608300,20251219
011200,HMM,2162891,2171318,8427,44402922875,44584195325,181272450,20251219
086900,메디톡스,13414,21809,8395,1623344500,2643710250,1020365750,20251219
455900,엔젤로보틱스,25655,34035,8380,771250800,1020764750,249513950,20251219
047920,HLB제약,14166,22426,8260,207097470,328012060,120914590,20251219
281820,케이씨텍,32340,40597,8257,1203977025,1511136000,307158975,20251219
389260,대명에너지,7372,15625,8253,145773770,310193735,164419965,20251219
000155,두산우,7420,15649,8229,3605241000,7579913000,3974672000,20251219
051915,LG화학우,8950,17037,8087,1534981950,2897899600,1362917650,20251219
011780,금호석유화학,42837,50920,8083,5386262800,6392349300,1006086500,20251219
168360,펨트론,23905,31953,8048,385189380,516939670,131750290,20251219
009160,SIMPAC,20832,28823,7991,114972190,159321225,44349035,20251219
126560,현대퓨처넷,2480,10436,7956,7932980,33422450,25489470,20251219
