티커,종목명,PER,EPS,PBR,외국인보유율,날짜
002990,금호건설,4.81,1973.0,1.44,7.01,20260730
092230,KPX홀딩스,3.05,27352.0,0.29,28.39,20260730
306200,세아제강,10.93,11338.0,0.31,3.36,20260730
016610,DB증권,3.88,2121.0,0.3,9.68,20260730
104700,한국철강,-,-450.0,0.41,5.53,20260730
381970,케이카,7.45,960.0,1.58,7.61,20260730
950210,프레스티지바이오파마,-,-954.0,0.73,63.69,20260730
007690,국도화학,19.37,1900.0,0.37,19.43,20260730
194370,제이에스코퍼레이션,4.41,2659.0,0.63,2.53,20260730
496020,WON 전단채플러스액티브,-,-,-,0.0,20260730
005610,삼립,-,-289.0,0.67,2.13,20260730
271940,일진하이솔루스,-,-43.0,1.06,3.37,20260730
089590,제주항공,-,-831.0,1.15,2.66,20260730
011760,현대코퍼레이션,4.47,5594.0,0.42,9.53,20260730
060980,HL홀딩스,9.39,3871.0,0.3,12.17,20260730
017810,풀무원,12.46,691.0,0.97,1.36,20260730
452260,한화갤러리아,47.69,35.0,0.39,1.87,20260730
170900,동아에스티,-,-1199.0,0.49,19.86,20260730
183190,아세아시멘트,15.51,563.0,0.29,4.45,20260730
145720,덴티움,18.83,1933.0,0.53,14.52,20260730
126560,현대퓨처넷,32.61,88.0,0.44,0.97,20260730
009900,명신산업,4.27,1398.0,0.39,6.2,20260730
006220,제주은행,20.27,407.0,0.49,0.92,20260730
008730,율촌화학,-,-119.0,1.08,5.57,20260730
005420,코스모화학,-,-671.0,1.32,4.41,20260730
009160,SIMPAC,18.8,246.0,0.39,1.55,20260730
005720,넥센,3.08,1861.0,0.21,2.6,20260730
005950,이수화학,-,-94.0,2.59,7.99,20260730
130660,한전산업,83.64,110.0,3.14,4.44,20260730
024720,콜마홀딩스,5.86,1484.0,0.47,22.34,20260730
018250,애경산업,12.41,901.0,0.69,1.84,20260730
108670,LX하우시스,-,-1098.0,0.37,15.01,20260730
009290,광동제약,13.96,417.0,0.45,16.69,20260730
126720,수산인더스트리,4.63,4371.0,0.51,3.27,20260730
016800,퍼시스,7.68,3268.0,0.38,20.13,20260730
002310,아세아제지,11.72,623.0,0.32,4.97,20260730
097520,엠씨넥스,6.38,2592.0,0.68,13.77,20260730
026890,스틱인베스트먼트,13.31,556.0,1.03,48.79,20260730
029460,케이씨,7.72,3318.0,0.3,12.74,20260730
033270,유나이티드제약,7.2,2431.0,0.6,8.79,20260730
091810,트리니티항공,-,-1074.0,2.08,0.88,20260730
004430,송원산업,17.69,649.0,0.35,15.57,20260730
472920,HK 종합채권(AA-이상)액티브,-,-,-,0.0,20260730
002020,코오롱,-,-9331.0,0.15,13.9,20260730
034830,한국토지신탁,12.18,89.0,0.23,4.31,20260730
123890,한국자산신탁,5.78,387.0,0.25,4.44,20260730
096760,JW홀딩스,3.92,934.0,0.93,3.41,20260730
003120,일성아이에스,223.63,91.0,0.38,0.36,20260730
012030,DB,4.69,286.0,0.52,6.35,20260730
005430,한국공항,5.99,14216.0,0.62,12.98,20260730
474590,WON 반도체밸류체인액티브,-,-,-,1.66,20260730
001390,KG케미칼,3.64,1091.0,0.26,12.32,20260730
037710,광주신세계,5.98,5859.0,0.31,3.99,20260730
084690,대상홀딩스,-,-2213.0,0.43,3.92,20260730
003960,사조대림,-,-8034.0,0.38,1.8,20260730
200880,서연이화,2.92,3368.0,0.21,7.12,20260730
025860,남해화학,20.7,258.0,0.47,3.55,20260730
092790,넥스틸,14.11,722.0,0.57,3.04,20260730
286940,롯데이노베이트,23.26,752.0,0.62,1.32,20260730
017390,서울가스,9.74,5442.0,0.19,2.73,20260730
003920,남양유업,28.79,1518.0,0.36,6.28,20260730
084010,대한제강,32.8,232.0,0.28,3.88,20260730
001230,동국홀딩스,12.94,129.0,0.11,12.82,20260730
272450,진에어,-,-647.0,1.04,1.16,20260730
192650,드림텍,-,-112.0,0.71,59.44,20260730
244920,에이플러스에셋,8.97,1266.0,1.46,11.69,20260730
078520,에이블씨엔씨,13.74,711.0,3.08,10.18,20260730
017900,광전자,41.97,104.0,0.91,19.94,20260730
005680,삼영전자,62.84,201.0,0.44,40.52,20260730
006405,삼성SDI우,-,-5686.0,0.54,16.47,20260730
010955,S-Oil우,7.6,8083.0,0.75,20.62,20260730
334890,이지스밸류플러스리츠,-,-,-,2.43,20260730
015860,일진홀딩스,6.07,820.0,0.41,8.64,20260730
011930,신성이엔지,-,-152.0,1.08,0.06,20260730
298690,에어부산,-,-604.0,1.2,0.79,20260730
404990,신한서부티엔디리츠,-,-,-,0.72,20260730
001750,한양증권,4.59,4084.0,0.38,12.56,20260730
058430,포스코스틸리온,16.56,240.0,0.62,2.41,20260730
003650,미창석유,2.88,47533.0,0.42,31.31,20260730
122900,아이마켓코리아,8.17,868.0,0.59,3.73,20260730
004360,세방,4.98,2496.0,0.22,12.62,20260730
010690,화신,3.56,1887.0,0.39,2.67,20260730
348950,제이알글로벌리츠,-,-,-,13.04,20260730
002900,TYM,4.1,1374.0,0.5,21.96,20260730
004710,한솔테크닉스,-,-444.0,0.64,5.58,20260730
008490,서흥,4.66,4268.0,0.44,6.31,20260730
900140,엘브이엠씨홀딩스,14.12,84.0,0.42,11.62,20260730
010820,퍼스텍,16.08,292.0,2.77,11.51,20260730
000157,두산2우B,59.5,4286.0,2.07,2.8,20260730
005500,삼진제약,10.7,1594.0,0.78,3.68,20260730
051905,LG생활건강우,-,-6520.0,0.33,47.78,20260730
298000,효성화학,16.84,3552.0,0.6,2.21,20260730
003200,일신방직,12.4,795.0,0.23,10.23,20260730
007160,사조산업,-,-8968.0,0.42,1.0,20260730
002320,한진,-,-225.0,0.16,5.73,20260730
028100,동아지질,11.17,1501.0,0.89,6.13,20260730
105840,우진,16.65,666.0,1.13,12.51,20260730
044450,KSS해운,2.53,3833.0,0.35,7.41,20260730
217590,티엠씨,-,-60.0,1.97,2.16,20260730
134380,미원화학,8.04,1246.0,1.1,0.44,20260730
001790,대한제당,-,-932.0,0.49,0.06,20260730
000050,경방,3.45,2318.0,0.25,2.78,20260730
136490,선진,1.93,4742.0,0.36,7.69,20260730
317400,자이에스앤디,6.45,863.0,0.47,5.99,20260730
009680,모토닉,10.81,918.0,0.45,11.32,20260730
000480,CR홀딩스,-,-459.0,0.33,1.27,20260730
025000,KPX케미칼,3.95,12302.0,0.31,29.5,20260730
033920,무학,7.66,966.0,0.34,2.5,20260730
000680,LS네트웍스,-,-179.0,0.23,0.89,20260730
003520,영진약품,-,-19.0,2.36,2.88,20260730
000430,대원강업,3.87,868.0,0.36,2.71,20260730
003070,코오롱글로벌,-,-6608.0,0.3,0.84,20260730
